name,brewery,year,abv,style,size,stock,purchased,drunk,ibu,collaborators,barrel_aged,barrel_type,brewed_with
Much Ado About Muffin,Siren Craft Brew,2020,5.5,Fruit Beer,440,0,1,true,,,false,,Blueberries
Brown Ale,St. Mel's Brewing Company,2020,5.2,Brown Ale,500,0,1,true,,,false,,
Helles Lager,St. Mel's Brewing Company,2020,5,Helles Lager,500,0,1,true,,,false,,
Big Blue,Stewart Brewing,2020,7,Spiced Blueberry Stout,1000,0,1,true,52,Kinnegar Brewing,false,,Blueberry Juice and Cardamoms
w00tstout,Stone,2018,11.5,Stout,330,0,1,true,,,false,,
Old Fashined Bourbon Ale,Strathcona,2018,7.5,Old Ale,650,1,1,false,,,false,,
Correctamundo,SuperFlux,2018,7,Porter,473,0,1,true,,,false,,
Pretty Green,The Format,2019,7.5,DDH IPA,440,0,1,true,,,false,,
Outdoorsman,The Gipsy Hill Brewing Co.,2020,4.8,Fruited Sour,440,0,1,true,,,false,,
India Pale Ale Nelson Sauvin Vic Secret,The Kernel Brewery,2020,6.9,American IPA,330,0,1,true,,,false,,
In to the Fucking Stratasphere,Third Barrel,2019,11,Triple IPA,440,0,1,true,,,false,,
Juice Bigalow,Third Barrel,2020,7,New England IPA,440,0,1,true,,,false,,
Plastic Paddy,Third Barrel,2020,7,Black IPA,440,0,1,true,,,false,,
The Darkness,Third Barrel,2019,10,Baltic Porter,330,0,2,true,70,,true,,
Cowbell,Third Circle,2020,7.2,Milk Stout,330,0,1,true,,,true,Rum and Whiskey,
Bright Eyes,Trouble Brewing,2020,3,Table Beer,440,0,1,true,,White Hag,false,,
Summer Saze,Vocation,2020,7,Elderflower & Honey Saison,440,0,1,true,,,false,,
Marauder,Wander Beyond,2020,13,Imperial Stout,250,0,1,true,,Slim Pickens,false,,
Blue Jumper,Western Herd Brewing Co,2020,6.2,IPA,500,0,1,true,,,false,,
Dolmen Irish Whiskey Stout,Western Herd Brewing Co,2020,7.6,Coffee Stout,440,0,1,true,,,true,Irish Whiskey Barrels,Cocoa-nibs and Coffee
Westvleteren xii,Westvleteren,2014,10.2,Trappist,330,1,1,true,,,true,,
Westvleteren xii,Westvleteren,2018,10.2,Trappist,330,1,1,true,,,false,,
All Together,Whiplash,2020,6.5,IPA,440,0,4,true,,,false,,
Apocalypse Dreams,Whiplash,2020,8,Double IPA,440,0,3,true,,,false,,
Body Riddle,Whiplash,2020,4.5,American Pale Ale,2000,0,1,true,26,,false,,
Eventually,Whiplash,2020,8,Double IPA,440,0,3,true,,,false,,
Plausible Deniability,Whiplash,2020,8.2,Double IPA,440,0,6,true,,Garage Beer co.,false,,
Reckoner,Whiplash,2020,6.3,IPA,440,0,3,true,,,false,,
Safe Changes,Whiplash,2020,5,Pale Ale,440,0,1,true,,,false,,
Sandstorm,Whiplash,2020,2.8,Micro IPA,440,0,2,true,,,false,,
Setting Sun,Whiplash,2020,8,Double IPA,440,0,3,true,,,false,,
Shades of Marble,Whiplash,2020,8,Double IPA,440,0,3,true,,,false,,
Surrender to the Void,Whiplash,2020,8,Double IPA,440,0,2,true,,,false,,
Swoon,Whiplash,2020,8,Double IPA,440,0,6,true,,,false,,
Telephone Line,Whiplash,2020,8.1,Double IPA,440,0,2,true,,Wylam,false,,
Atlantean,White Hag,2020,5.4,New England IPA,330,0,10,true,,,false,,
Beann Gulban,White Hag,2017,6.9,Irish Heather Sour Ale,375,3,4,true,,,true,French and Hungarian Oak,
Black Boar,White Hag,2019,10.2,Imperial Oatmeal Stout,330,0,1,true,,,false,Bourbon,
Bran & Sceolan,White Hag,2020,7.2,Irish IPA,330,0,4,true,,,false,,
Fionn,White Hag,2019,8.5,Double IPA,440,0,3,true,,,false,,
Fionn,White Hag,2020,8.5,Double IPA,1000,0,1,true,,,false,,
Hagstravaganza 4 - Black Boar Barrel Aged With Raspberries,White Hag,2018,11.6,Imperial Stout,750,1,1,true,,,true,,raspberries
Hagstravaganza 5 - Single Barrel Bourbon Barley Wine,White Hag,2019,13,Barley Wine,750,2,2,true,,,true,Bourbon,
Hopstravaganza,White Hag,2020,6.2,New England IPA,330,0,1,true,,,false,,
Little Fawn,White Hag,2020,4.2,Session IPA,330,0,16,true,,,false,,
Little Olcan,White Hag,2020,4.2,Brett Session IPA,330,0,1,true,,,true,,
Malafemmena,White Hag,2020,8.5,Double IPA,440,0,1,true,,"Johnny's Off Licence,",false,,
Ninth Wave,White Hag,2020,5.4,New World Pale Ale,330,0,14,true,,,false,,
No. 40,White Hag,2019,13,Rye Wine,330,0,2,true,,Brew By Numbers,true,,
Olcan,White Hag,2017,6,Brett IPA,375,0,1,true,,,true,,
Phantom,White Hag,2020,4,Hazy IPA,330,0,14,true,,,false,,
Púca Berry Hibiscus & Ginger,White Hag,2020,3.5,Dry Hopped Lemon Sour,330,0,6,true,,,false,,
The Dark Druid Salted Caramel,White Hag,2020,5.5,Pastry Stout,330,0,1,true,,,false,,
The Dark Druid Chocolate Coconut,White Hag,2020,5.5,Pastry Stout,330,0,1,true,,,false,,
The Púca Lemon,White Hag,2020,3.5,Dry Hopped Lemon Sour,330,0,6,true,,,false,,
Mill pilsner ,Wide Street Brewing co,2020,5.5,Farmhouse pilsner ,440,0,1,true,,,false,,
Sour Rivière,Wide Street Brewing co,2020,4.8,Sour,440,0,1,true,3,,false,,
A Never Ending Series of Question Marks,Wylam,2020,7.5,DDH IPA,440,0,3,true,,De Molen,false,,
In Definace of Gravity,Wylam,2020,6.7,IPA,440,0,1,true,,Apex,false,,
In My High Wire Days,Wylam,2020,4.1,Pale Ale,440,0,1,true,,,false,,
Paying the Price for My Smooth Ride,Wylam,2020,8.8,Double IPA,440,0,1,true,,Finback,false,,
WXY5,Wylam,2020,7,Southern Hemisphere IPA,440,0,1,true,,Yeastie Boys,false,,
The Last Stand,Yellow Belly,2019,8.2,American Barley wine,330,0,1,true,,,false,,
Outside Looking In,Cloudwater Brew Co.,2020,8,Double IPA,440,0,1,true,,,false,,
King Nelson,BRÚ Brewery,2020,6.2,IPA,440,0,1,true,,CraftCentral.ie,false,,
Patrons Project 26.02 Double Cone Ice Cream Pale,Northern Monk,2020,8.2,Milkshake IPA,440,0,1,true,20,,false,,
Is the Spider Small?,Cloudwater Brew Co.,2020,6,DDH IPA,440,0,2,true,,,false,,
Youngsters On Dominoes,Oddity,2020,5.4,Pale Ale,440,0,1,true,,,false,,
"The Dropper Neomexicanus
",Rye River,2020,5.4,American Pale Ale,440,0,2,true,,Yakima Chief Hops,false,,
Tank Sample II,Omnipollo,2020,7.3,Double IPA,330,0,1,true,,,false,,
Anima Single Citra,Omnipollo,2020,8,Double Dry Hopped Double IPA,330,0,1,true,,,false,,
Intergalactic Yuzu,Rye River,2020,3.9,Citrus Gose,440,0,1,true,,Yeastie Boys,false,,
In My High Wire Days,Wylam,2020,4.1,Pale Ale,440,0,1,true,,,false,,
Hickey The Rake,Wylam,2020,4.2,Limonata Pale,440,0,1,true,,,false,,
Soft & Juicy,Cloudwater Brew Co.,2020,6,IPA,440,0,1,true,,,false,,
Haunt DIPA,Whiplash,2020,8.2,Double IPA,440,0,3,true,,,false,,
Water Jump,Whiplash,2020,6.8,IPA,440,0,4,true,,,false,,
Never Cursed,Whiplash,2020,4.1,Grisette,440,0,4,true,,,false,,
Goblin Sauce,Bellwoods Brewery,2020,8.5,Double IPA,473,0,1,true,,,false,,
Roman Candle,Bellwoods Brewery,2020,6.8,IPA,473,0,1,true,,,false,,
